tenure,monthly_charges,total_charges,contract,internet_service,tech_support,payment_method,churn
51,114.18,5360.35,One year,Fiber optic,Yes,Electronic check,0
14,61.08,990.62,Month-to-month,No,No,Bank transfer,1
71,56.49,3844.92,One year,Fiber optic,No,Electronic check,0
60,113.5,7208.65,Month-to-month,No,No,Credit card,1
20,86.86,1843.42,One year,Fiber optic,No,Bank transfer,0
23,29.83,721.19,One year,DSL,Yes,Electronic check,0
2,22.31,69.85,Month-to-month,DSL,No,Mailed check,1
21,75.59,1565.59,One year,Fiber optic,No,Electronic check,0
52,112.88,5574.65,One year,Fiber optic,No,Credit card,0
1,104.11,214.55,One year,DSL,Yes,Mailed check,0
29,86.94,2498.96,One year,No,Yes,Electronic check,0
37,32.19,1339.17,Two year,Fiber optic,Yes,Electronic check,0
1,43.93,87.01,Month-to-month,No,No,Bank transfer,1
63,107.3,6333.75,Month-to-month,No,Yes,Credit card,0
59,36.65,2280.72,Two year,Fiber optic,No,Electronic check,0
20,46.4,936.62,Month-to-month,No,No,Electronic check,0
32,31.22,957.85,Month-to-month,Fiber optic,No,Electronic check,1
57,86.96,4965.83,Month-to-month,No,No,Credit card,0
21,114.29,2747.83,Month-to-month,Fiber optic,Yes,Mailed check,0
48,45.43,2186.64,Month-to-month,Fiber optic,No,Credit card,1
58,66.49,3803.13,Two year,Fiber optic,No,Bank transfer,0
41,82.7,3434.85,Month-to-month,Fiber optic,No,Bank transfer,1
59,119.95,6494.74,Month-to-month,Fiber optic,No,Credit card,1
14,28.69,398.77,Two year,Fiber optic,Yes,Electronic check,0
61,68.85,4567.23,Two year,DSL,Yes,Electronic check,0
61,57.28,3890.89,Month-to-month,No,No,Mailed check,1
46,106.31,4654.75,Month-to-month,Fiber optic,No,Credit card,1
61,66.55,4155.41,Two year,Fiber optic,Yes,Credit card,0
50,29.32,1634.78,One year,Fiber optic,Yes,Electronic check,0
54,82.71,4236.6,One year,Fiber optic,Yes,Bank transfer,0
63,96.62,5795.73,Two year,No,No,Bank transfer,0
2,18.29,59.55,One year,Fiber optic,No,Mailed check,0
50,105.61,5607.68,Month-to-month,DSL,No,Mailed check,0
6,36.97,240.78,One year,Fiber optic,No,Bank transfer,1
20,74.31,1527.27,Month-to-month,Fiber optic,Yes,Credit card,0
38,60.41,2146.91,One year,No,Yes,Mailed check,0
17,91.4,1623.05,One year,Fiber optic,No,Electronic check,0
3,55.86,235.86,Month-to-month,No,No,Credit card,1
59,106.72,6472.32,Month-to-month,Fiber optic,Yes,Electronic check,1
13,92.51,1333.33,Month-to-month,No,No,Mailed check,0
8,84.07,730.42,Month-to-month,DSL,No,Bank transfer,1
52,99.22,4902.54,One year,No,No,Mailed check,0
1,94.91,171.34,Month-to-month,No,Yes,Bank transfer,0
59,21.67,1383.75,One year,No,Yes,Credit card,0
70,58.26,4249.51,Month-to-month,DSL,Yes,Mailed check,0
43,112.94,4700.34,One year,DSL,No,Mailed check,0
7,30.82,242.54,Two year,Fiber optic,No,Mailed check,1
